customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
16,122,nutrella,2023-06-30,6,40,4,160
19,121,quaker oats,2023-03-05,2,212,9,1908
2,122,nutrella,2023-03-07,6,40,6,240
7,121,dantkanti,2023-05-28,2,100,2,200
14,123,nutrella,2023-06-04,7,40,8,320
2,121,besan,2023-05-27,2,52,10,520
2,122,maida,2023-05-30,4,20,6,120
6,122,sugar,2023-07-25,5,50,5,250
16,123,maida,2023-07-14,8,20,5,100
15,122,clinic plus,2023-08-08,4,1.5,3,4.5
3,121,dantkanti,2023-07-19,3,100,8,800
7,123,maida,2023-07-15,7,20,8,160
9,121,besan,2023-07-01,3,52,6,312
17,123,dantkanti,2023-06-02,7,100,6,600
18,123,dantkanti,2023-08-09,7,100,8,800
15,123,quaker oats,2023-07-08,9,212,3,636
13,122,clinic plus,2023-05-16,5,1.5,4,6.0
3,123,sugar,2023-05-07,9,50,9,450
20,121,clinic plus,2023-04-03,1,1.5,10,15.0
4,121,maida,2023-05-16,2,20,5,100
3,123,besan,2023-06-18,8,52,2,104
11,122,refined oil,2023-04-16,4,110,5,550
4,122,dantkanti,2023-06-25,6,100,9,900
7,121,nutrella,2023-06-03,2,40,3,120
13,122,besan,2023-03-17,6,52,2,104
16,122,besan,2023-07-07,6,52,6,312
12,123,refined oil,2023-03-28,9,110,2,220
9,123,refined oil,2023-06-26,7,110,5,550
14,122,dantkanti,2023-05-18,5,100,5,500
11,123,dantkanti,2023-05-26,7,100,10,1000
12,123,dantkanti,2023-03-25,7,100,8,800
9,121,nutrella,2023-05-01,2,40,9,360
15,122,clinic plus,2023-05-31,5,1.5,4,6.0
11,122,sugar,2023-04-26,5,50,2,100
12,122,clinic plus,2023-08-06,6,1.5,7,10.5
20,121,besan,2023-05-22,1,52,5,260
14,121,besan,2023-08-10,2,52,1,52
17,121,sugar,2023-06-13,2,50,6,300
8,122,besan,2023-03-26,5,52,6,312
20,121,sugar,2023-03-18,2,50,6,300
13,121,clinic plus,2023-08-05,3,1.5,8,12.0
3,121,besan,2023-03-06,1,52,8,416
12,122,besan,2023-07-24,5,52,4,208
2,123,maida,2023-06-30,7,20,7,140
9,122,nutrella,2023-07-08,6,40,9,360
20,122,maida,2023-03-11,6,20,4,80
12,121,refined oil,2023-07-18,1,110,7,770
4,123,maida,2023-06-09,9,20,4,80
11,121,besan,2023-05-29,3,52,9,468
15,123,maida,2023-05-06,8,20,4,80
4,122,maida,2023-07-10,6,20,10,200
2,121,quaker oats,2023-08-10,1,212,2,424
5,121,maida,2023-05-03,2,20,8,160
5,122,clinic plus,2023-04-25,5,1.5,3,4.5
14,122,clinic plus,2023-05-02,4,1.5,1,1.5
10,122,maida,2023-04-09,4,20,9,180
12,122,clinic plus,2023-07-12,6,1.5,7,10.5
17,122,maida,2023-04-30,4,20,9,180
16,122,refined oil,2023-05-12,4,110,10,1100
11,122,quaker oats,2023-06-06,4,212,5,1060
4,123,besan,2023-07-20,9,52,10,520
8,121,nutrella,2023-05-16,3,40,8,320
14,123,dantkanti,2023-04-11,8,100,6,600
7,122,clinic plus,2023-04-05,6,1.5,3,4.5
8,123,besan,2023-03-09,8,52,7,364
10,122,quaker oats,2023-04-26,4,212,4,848
13,123,refined oil,2023-08-16,8,110,5,550
18,122,dantkanti,2023-03-14,5,100,4,400
14,121,refined oil,2023-07-08,1,110,10,1100
16,122,maida,2023-07-27,5,20,2,40
8,122,clinic plus,2023-06-12,4,1.5,3,4.5
4,123,maida,2023-05-30,9,20,2,40
12,122,maida,2023-06-28,6,20,8,160
4,122,dantkanti,2023-03-31,4,100,6,600
9,121,quaker oats,2023-05-01,3,212,1,212
3,121,nutrella,2023-04-17,1,40,8,320
11,121,dantkanti,2023-08-07,1,100,1,100
5,123,maida,2023-04-19,7,20,8,160
18,122,besan,2023-06-27,5,52,1,52
7,121,refined oil,2023-05-06,3,110,3,330
17,122,maida,2023-06-14,6,20,6,120
3,121,clinic plus,2023-03-20,2,1.5,6,9.0
8,122,nutrella,2023-03-30,6,40,9,360
6,121,dantkanti,2023-06-10,1,100,3,300
9,123,dantkanti,2023-03-13,8,100,4,400
7,123,nutrella,2023-03-21,7,40,1,40
18,121,besan,2023-06-01,2,52,6,312
19,122,nutrella,2023-04-18,4,40,4,160
4,122,refined oil,2023-04-28,4,110,9,990
9,121,quaker oats,2023-05-20,1,212,4,848
10,123,clinic plus,2023-08-03,8,1.5,7,10.5
5,121,clinic plus,2023-08-01,2,1.5,9,13.5
14,122,besan,2023-07-11,4,52,10,520
9,123,sugar,2023-06-12,8,50,5,250
15,121,quaker oats,2023-06-22,3,212,2,424
18,122,clinic plus,2023-04-07,5,1.5,7,10.5
10,122,sugar,2023-06-14,5,50,8,400
17,121,dantkanti,2023-04-26,2,100,1,100
16,122,nutrella,2023-03-12,4,40,3,120
8,123,besan,2023-05-19,9,52,6,312
8,122,maida,2023-04-27,6,20,1,20
