customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
18,121,maida,2023-05-25,1,20,10,200,UPI
6,122,refined oil,2023-05-25,5,110,8,880,UPI
5,122,quaker oats,2023-05-25,5,212,4,848,UPI
2,121,sugar,2023-05-25,3,50,1,50,UPI
4,122,dantkanti,2023-05-25,4,100,2,200,UPI
20,122,nutrella,2023-05-25,6,40,7,280,cash
14,122,clinic plus,2023-05-25,4,1.5,6,9.0,UPI
16,121,sugar,2023-05-25,2,50,3,150,cash
13,123,besan,2023-05-25,8,52,5,260,cash
14,122,besan,2023-05-25,5,52,2,104,cash
2,121,refined oil,2023-05-25,3,110,3,330,cash
7,121,clinic plus,2023-05-25,1,1.5,9,13.5,UPI
9,121,dantkanti,2023-05-25,1,100,2,200,UPI
17,121,nutrella,2023-05-25,3,40,6,240,UPI
15,122,sugar,2023-05-25,4,50,1,50,cash
20,121,besan,2023-05-25,1,52,8,416,cash
4,123,quaker oats,2023-05-25,9,212,1,212,cash
4,122,quaker oats,2023-05-25,5,212,5,1060,UPI
18,121,maida,2023-05-25,3,20,4,80,cash
13,122,clinic plus,2023-05-25,6,1.5,8,12.0,UPI
18,123,besan,2023-05-25,9,52,4,208,UPI
14,123,maida,2023-05-25,9,20,9,180,cash
14,123,nutrella,2023-05-25,9,40,9,360,cash
8,122,nutrella,2023-05-25,6,40,10,400,UPI
14,121,sugar,2023-05-25,1,50,9,450,UPI
19,123,sugar,2023-05-25,7,50,10,500,UPI
17,123,clinic plus,2023-05-25,9,1.5,6,9.0,cash
2,121,clinic plus,2023-05-25,3,1.5,9,13.5,cash
12,121,quaker oats,2023-05-25,3,212,6,1272,cash
10,122,nutrella,2023-05-25,6,40,7,280,UPI
9,121,sugar,2023-05-25,2,50,8,400,UPI
8,121,quaker oats,2023-05-25,3,212,9,1908,UPI
9,122,sugar,2023-05-25,5,50,1,50,UPI
13,121,refined oil,2023-05-25,3,110,6,660,cash
9,123,besan,2023-05-25,8,52,5,260,cash
15,123,maida,2023-05-25,9,20,10,200,UPI
14,121,besan,2023-05-25,2,52,5,260,UPI
8,121,refined oil,2023-05-25,3,110,7,770,UPI
5,122,besan,2023-05-25,6,52,4,208,UPI
19,121,refined oil,2023-05-25,2,110,10,1100,cash
9,121,nutrella,2023-05-25,2,40,7,280,cash
8,122,dantkanti,2023-05-25,6,100,1,100,cash
1,121,clinic plus,2023-05-25,1,1.5,7,10.5,cash
12,122,besan,2023-05-25,4,52,6,312,cash
11,123,refined oil,2023-05-25,9,110,3,330,cash
13,121,nutrella,2023-05-25,1,40,9,360,UPI
11,121,besan,2023-05-25,2,52,4,208,UPI
