customer_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
9,quaker oats,2023-05-26,"[7, 8, 9]",212,8,1696,UPI
4,clinic plus,2023-05-26,"[4, 5, 6]",1.5,1,1.5,cash
19,clinic plus,2023-05-26,"[7, 8, 9]",1.5,2,3.0,UPI
7,besan,2023-05-26,"[7, 8, 9]",52,4,208,UPI
14,clinic plus,2023-05-26,"[7, 8, 9]",1.5,10,15.0,UPI
7,refined oil,2023-05-26,"[1, 2, 3]",110,6,660,cash
11,sugar,2023-05-26,"[4, 5, 6]",50,7,350,cash
3,dantkanti,2023-05-26,"[7, 8, 9]",100,8,800,UPI
12,refined oil,2023-05-26,"[4, 5, 6]",110,4,440,UPI
5,maida,2023-05-26,"[7, 8, 9]",20,1,20,cash
2,sugar,2023-05-26,"[4, 5, 6]",50,6,300,cash
14,refined oil,2023-05-26,"[4, 5, 6]",110,3,330,UPI
3,clinic plus,2023-05-26,"[7, 8, 9]",1.5,3,4.5,UPI
4,nutrella,2023-05-26,"[1, 2, 3]",40,5,200,cash
4,maida,2023-05-26,"[4, 5, 6]",20,6,120,cash
9,refined oil,2023-05-26,"[4, 5, 6]",110,6,660,cash
9,quaker oats,2023-05-26,"[1, 2, 3]",212,6,1272,cash
9,besan,2023-05-26,"[4, 5, 6]",52,5,260,cash
18,besan,2023-05-26,"[7, 8, 9]",52,2,104,UPI
13,quaker oats,2023-05-26,"[7, 8, 9]",212,1,212,cash
19,dantkanti,2023-05-26,"[1, 2, 3]",100,3,300,cash
10,clinic plus,2023-05-26,"[4, 5, 6]",1.5,4,6.0,UPI
14,sugar,2023-05-26,"[4, 5, 6]",50,8,400,UPI
16,dantkanti,2023-05-26,"[4, 5, 6]",100,3,300,UPI
5,sugar,2023-05-26,"[7, 8, 9]",50,4,200,UPI
3,dantkanti,2023-05-26,"[1, 2, 3]",100,2,200,cash
8,refined oil,2023-05-26,"[4, 5, 6]",110,5,550,UPI
12,sugar,2023-05-26,"[4, 5, 6]",50,3,150,cash
3,sugar,2023-05-26,"[1, 2, 3]",50,1,50,cash
10,maida,2023-05-26,"[7, 8, 9]",20,9,180,cash
15,maida,2023-05-26,"[4, 5, 6]",20,6,120,cash
16,nutrella,2023-05-26,"[1, 2, 3]",40,2,80,cash
15,dantkanti,2023-05-26,"[7, 8, 9]",100,1,100,cash
15,maida,2023-05-26,"[1, 2, 3]",20,2,40,UPI
3,dantkanti,2023-05-26,"[7, 8, 9]",100,8,800,UPI
12,besan,2023-05-26,"[7, 8, 9]",52,2,104,cash
9,refined oil,2023-05-26,"[1, 2, 3]",110,7,770,cash
7,besan,2023-05-26,"[7, 8, 9]",52,2,104,UPI
16,refined oil,2023-05-26,"[4, 5, 6]",110,10,1100,UPI
4,dantkanti,2023-05-26,"[7, 8, 9]",100,1,100,cash
2,maida,2023-05-26,"[4, 5, 6]",20,9,180,UPI
8,dantkanti,2023-05-26,"[1, 2, 3]",100,6,600,UPI
